line_number,kind,column,raw_value,output_value,reason
1,row_skipped,__row__," CustomerID ,full_name,email,phone,address_line,city,region,postal_code,country,birth_date,signup_date,last_purchase_date,status,tier,preferred_language,marketing_opt_in,total_spend,order_count,notes",,embedded header row inside the dataset
3,field_failed,email,bob.garciademo.local,bob.garciademo.local,email must contain exactly one @
18,field_failed,email,victor..scott@mail.test,victor..scott@mail.test,email must not contain consecutive dots
32,field_failed,email,kenbrown@example..com,kenbrown@example..com,email must not contain consecutive dots
45,field_failed,email,742.123.0940,742.123.0940,email must contain exactly one @
45,field_failed,phone,heidi.moore5048 @ mail.test,5048,phone number must have 7 to 15 digits
49,field_failed,CustomerID,,,CustomerID is required
49,field_failed,email,090-6047-6580,090-6047-6580,email must contain exactly one @
49,field_failed,phone,niaj.williams@example.net,,phone number must have 7 to 15 digits
60,field_failed,email,quinn.nelsonmail.test,quinn.nelsonmail.test,email must contain exactly one @
78,field_failed,CustomerID,,,CustomerID is required
87,field_failed,CustomerID,,,CustomerID is required
106,field_failed,email,mika..white@example.org,mika..white@example.org,email must not contain consecutive dots
107,field_failed,email,02334245798,02334245798,email must contain exactly one @
107,field_failed,phone,sora.walker@mail.test,,phone number must have 7 to 15 digits
114,field_failed,status,??,??,unsupported status value
129,field_failed,email,yvonne..harris@example.com,yvonne..harris@example.com,email must not contain consecutive dots
137,field_failed,email,trudyking@mail..test,trudyking@mail..test,email must not contain consecutive dots
155,field_failed,email,ivan..flores@example.net,ivan..flores@example.net,email must not contain consecutive dots
163,field_failed,email,victor..taylor@example.org,victor..taylor@example.org,email must not contain consecutive dots
166,field_failed,CustomerID,,,CustomerID is required
185,field_failed,status,??,??,unsupported status value
186,field_failed,CustomerID,,,CustomerID is required
188,field_failed,status,??,??,unsupported status value
203,field_failed,status,??,??,unsupported status value
204,field_failed,status,??,??,unsupported status value
243,field_failed,email,steve..adams@mail.test,steve..adams@mail.test,email must not contain consecutive dots
244,field_failed,email,trudy..miller@example.org,trudy..miller@example.org,email must not contain consecutive dots
248,field_failed,email,09-0078-83692,09-0078-83692,email must contain exactly one @
248,field_failed,phone,ken.torres3168@mail.test,3168,phone number must have 7 to 15 digits
250,field_failed,email,sora..garcia@demo.local,sora..garcia@demo.local,email must not contain consecutive dots
252,field_failed,email,taro.harrismail.test,taro.harrismail.test,email must contain exactly one @
259,field_failed,CustomerID,,,CustomerID is required
301,field_failed,email,eve..johnson@example.net,eve..johnson@example.net,email must not contain consecutive dots
305,field_failed,status,??,??,unsupported status value
312,field_failed,CustomerID,,,CustomerID is required
329,field_failed,status,??,??,unsupported status value
336,field_failed,email,(737) 805-3425,(737)805-3425,email must contain exactly one @
336,field_failed,phone,hana.wright@demo.local,,phone number must have 7 to 15 digits
363,field_failed,email,wendy..robinson@demo.local,wendy..robinson@demo.local,email must not contain consecutive dots
390,field_failed,email,ivan..allen@mail.test,ivan..allen@mail.test,email must not contain consecutive dots
409,field_failed,CustomerID,,,CustomerID is required
411,field_failed,status,??,??,unsupported status value
412,field_failed,email,ivanwhite@mail..test,ivanwhite@mail..test,email must not contain consecutive dots
436,field_failed,CustomerID,,,CustomerID is required
441,field_failed,email,09-6500-74435,09-6500-74435,email must contain exactly one @
441,field_failed,phone,wendy.thompson@example.net,,phone number must have 7 to 15 digits
447,field_failed,email,xavier..davis@demo.local,xavier..davis@demo.local,email must not contain consecutive dots
448,field_failed,email,abefj..ehocmm@demo.local,abefj..ehocmm@demo.local,email must not contain consecutive dots
501,field_failed,CustomerID,,,CustomerID is required
506,field_failed,email,rita_whiteexample.com,rita_whiteexample.com,email must contain exactly one @
527,field_failed,email,hana..jones@example.net,hana..jones@example.net,email must not contain consecutive dots
538,field_failed,email,carol-torres6238@example..com,carol-torres6238@example..com,email must not contain consecutive dots
548,field_failed,status,??,??,unsupported status value
556,field_failed,email,mika-brownmail.test,mika-brownmail.test,email must contain exactly one @
559,field_failed,CustomerID,,,CustomerID is required
564,field_failed,email,ezxqrobgiexample.com,ezxqrobgiexample.com,email must contain exactly one @
577,field_failed,email,lhlt..epnhabxs@example.net,lhlt..epnhabxs@example.net,email must not contain consecutive dots
594,field_failed,email,uma..thompson@mail.test,uma..thompson@mail.test,email must not contain consecutive dots
595,field_failed,email,+81 47 1041 7628,+814710417628,email must contain exactly one @
595,field_failed,phone,eve.thomas@example.org,,phone number must have 7 to 15 digits
623,field_failed,CustomerID,,,CustomerID is required
628,field_failed,email,yukijohnson@demo..local,yukijohnson@demo..local,email must not contain consecutive dots
634,field_failed,email,grace.thomasexample.org,grace.thomasexample.org,email must contain exactly one @
664,field_failed,email,xavier.garciamail.test,xavier.garciamail.test,email must contain exactly one @
683,field_failed,email,08091099220,08091099220,email must contain exactly one @
683,field_failed,phone,zyimf.iobfcvpzob@demo.local,,phone number must have 7 to 15 digits
699,field_failed,email,(476) 932-5726,(476)932-5726,email must contain exactly one @
699,field_failed,phone,wyrsshp.bgqpemexdo@demo.local,,phone number must have 7 to 15 digits
701,field_failed,email,walter_wilson@example..net,walter_wilson@example..net,email must not contain consecutive dots
716,field_failed,CustomerID,,,CustomerID is required
725,field_failed,CustomerID,,,CustomerID is required
749,field_failed,email,ivan..nguyen@mail.test,ivan..nguyen@mail.test,email must not contain consecutive dots
763,field_failed,email,guobelxn.bewrhzexample.com,guobelxn.bewrhzexample.com,email must contain exactly one @
779,field_failed,CustomerID,,,CustomerID is required
796,field_failed,email,yuki..young@example.net,yuki..young@example.net,email must not contain consecutive dots
802,field_failed,CustomerID,,,CustomerID is required
808,field_failed,email,walter.thompsonmail.test,walter.thompsonmail.test,email must contain exactly one @
839,field_failed,email,(268) 862-1946,(268)862-1946,email must contain exactly one @
839,field_failed,phone,ymmpjsu.dgixtrk@example.org,,phone number must have 7 to 15 digits
899,field_failed,email,ezwrecv..adtiertzo@demo.local,ezwrecv..adtiertzo@demo.local,email must not contain consecutive dots
902,row_skipped,__row__,# EXPORT GENERATED BY CRM MIGRATION TOOL v2,,non-data line
903,row_skipped,__row__," CustomerID ,full_name,email,phone,address_line,city,region,postal_code,country,birth_date,signup_date,last_purchase_date,status,tier,preferred_language,marketing_opt_in,total_spend,order_count,notes",,embedded header row inside the dataset
904,field_failed,CustomerID,,,CustomerID is required
904,field_failed,email,noid.person@@example,noid.person@@example,email must contain exactly one @
904,field_failed,birth_date,1988-13-40,1988-13-40,date is out of range
904,field_failed,signup_date,2024-02-30,2024-02-30,date is out of range
904,field_failed,last_purchase_date,not-a-date,not-a-date,invalid year
904,field_failed,marketing_opt_in,maybe,maybe,unsupported marketing_opt_in value
915,field_failed,email,sfibsdddmatdjlgatsexample.net,sfibsdddmatdjlgatsexample.net,email must contain exactly one @
957,field_failed,email,sybil..nelson@demo.local,sybil..nelson@demo.local,email must not contain consecutive dots
963,field_failed,email,trent..hill@example.net,trent..hill@example.net,email must not contain consecutive dots
970,field_failed,email,apjwqco.aobsdeexample.org,apjwqco.aobsdeexample.org,email must contain exactly one @
980,field_failed,status,??,??,unsupported status value
981,field_failed,email,heidi..williams@mail.test,heidi..williams@mail.test,email must not contain consecutive dots
993,field_failed,CustomerID,,,CustomerID is required
995,field_failed,email,090-2026-1448,090-2026-1448,email must contain exactly one @
995,field_failed,phone,szkmhzk.znmiaij@mail.test,,phone number must have 7 to 15 digits
1009,field_failed,CustomerID,,,CustomerID is required
1022,field_failed,CustomerID,,,CustomerID is required
1027,field_failed,CustomerID,,,CustomerID is required
1027,field_failed,email,qujbukf.ibbkzxlfexample.org,qujbukf.ibbkzxlfexample.org,email must contain exactly one @
1030,field_failed,email,alice.jonesdemo.local,alice.jonesdemo.local,email must contain exactly one @
1036,field_failed,email,bsicc..mfgfbtzb@example.net,bsicc..mfgfbtzb@example.net,email must not contain consecutive dots
1043,field_failed,CustomerID,,,CustomerID is required
1064,field_failed,email,04277904899,04277904899,email must contain exactly one @
1064,field_failed,phone,heidi.jones6468@example.com,6468,phone number must have 7 to 15 digits
1086,field_failed,email,olivia.wrightmail.test,olivia.wrightmail.test,email must contain exactly one @
1123,field_failed,email,malloryandersonexample.org,malloryandersonexample.org,email must contain exactly one @
1137,field_failed,email,1455751787,1455751787,email must contain exactly one @
1141,field_failed,email,08-0773-96001,08-0773-96001,email must contain exactly one @
1141,field_failed,phone,judy.anderson@example.net,,phone number must have 7 to 15 digits
1179,field_failed,email,yerhy..uxoysmsufv@example.net,yerhy..uxoysmsufv@example.net,email must not contain consecutive dots
1188,field_failed,email,881.557.1600,881.557.1600,email must contain exactly one @
1188,field_failed,phone,hccwoxjp_abfnlzxkeg@demo.local,,phone number must have 7 to 15 digits
