CustomerID,full_name,email,phone,address_line,city,region,postal_code,country,birth_date,signup_date,last_purchase_date,status,tier,preferred_language,marketing_opt_in,total_spend,order_count,notes
CUST000001,Alice Smith,alice.smith@example.com,07001338908,2-15-19 Setagaya,Umeda,Fukuoka,265-4235,Japan,1964-03-12,2019-07-04,2020-04-14,active,silver,en-GB,true,457.29,9,
CUST000002,Bob Garcia,bob.garciademo.local,0957015430,9305 Oak Street,Newark,IL,82278-8963,United States,1968-09-17,2023-10-31,2024-12-11,inactive,gold,en,false,438.87,1,duplicate in legacy system
CUST000003,Carol Moore,carol.moore@example.org,5346247510,"9234 Oak Street, Unit 28",Miami,,42513,United States,2005-09-16,,2026-01-01,inactive,silver,,true,,19,coupon code used: RKGYC4
CUST000004,Dave Harris,dave_harris@mail.test,09016934060,"3-14-3 Shinjuku, Skyline Tower",Namba,Fukuoka,148-4656,Japan,1958-06-07,2023-07-07,2024-12-31,pending,silver,en-GB,false,402.35,1,"requested invoice as ""PDF"""
CUST000005,Eve Young,eve.young@example.net,08046688937,"4-16-1 Taito, Skyline Tower",Hakata,Aichi,627-2980,Japan,1956-10-02,2021-05-15,2024-08-23,active,bronze,ja,true,1231.90,3,moved recently; verify address
CUST000006,Frank Hill,frank.hill6659@example.net,8377701436,"5026 2nd Rd, Unit 71",Chicago,GA,56855,United States,2001-05-07,2023-03-27,,pending,bronze,en-GB,true,709.36,1,asked about refund policy
CUST000007,Grace Williams,grace.williams@demo.local,8771906594,1506 Cedar St,Toronto,,90278,United Kingdom,1982-04-13,2018-05-25,2021-01-08,pending,bronze,en-US,true,156.51,1,do not call before 14:00
CUST000008,Heidi Wilson,heidi.wilson8230@demo.local,07071870262,3-11-20 Meguro,Hakata,Hyogo,,Japan,1968-08-24,2021-05-01,2025-01-19,active,bronze,ja,false,699.53,9,"coupon code used: MQIGCT, urgent"
CUST000009,Ivan Martin,ivan.martin@example.net,+18516048175,9587 Lake Rd,Denver,NY,70985,United States,1975-03-29,2017-11-05,2018-08-20,inactive,silver,ja,false,0.00,7,"VIP, handle with care, ok"
CUST000010,Judy Clark,judy.clark@example.com,+816921249985,4-17-20 Taito,Hakata,Hyogo,183-6736,Japan,1964-09-07,2021-10-13,2025-08-18,banned,silver,,false,551.62,9,asked about refund policy
CUST000011,Mallory King,mallory-king@demo.local,+819051606071,5-13-14 Setagaya,Shibuya,Osaka,605-2975,Japan,1970-10-06,2022-07-31,2024-12-28,banned,gold,ja,true,0.00,2,"VIP, handle with care"
CUST000012,Niaj Green,niaj-green@mail.test,+819052816850,"2-7-11 Taito, Sunrise Bldg.",Namba,Saitama,322-1418,Japan,,2020-12-03,2022-08-30,active,gold,en-GB,false,0.00,1,do not call before 09:00
