 CustomerID ,full_name,email,phone,address_line,city,region,postal_code,country,birth_date,signup_date,last_purchase_date,status,tier,preferred_language,marketing_opt_in,total_spend,order_count,notes
CUST-000001,Alice Smith,alice.smith@example.com,  07-0013-38908,2-15-19 Setagaya, Umeda,Fukuoka,265-4235   ,Japan,1964-03-12,2019-07-04,2020-04-14,active  ,silver,en_GB,1,457.29,9,
CUST000002,Bob Garcia   ,bob.garciademo.local,   095-701-5430,9305 Oak Street,newark,IL,82278-8963  ,   United States,1968/09/17,31-10-2023,2024-12-11,inactive,gold,en,FALSE,  438.87  ,1,   duplicate in legacy system
CUST000003,Carol Moore,  carol.moore@example.org,534.624.7510 ,"9234 Oak Street, Unit 28",Miami,NULL,42513, United States,2005-09-16,,01-01-2026,inactive  ,silver,,TRUE,,19,coupon code used: RKGYC4
CUST000004,Dave Harris,dave_harris@mail.test,09016934060,"3-14-3 Shinjuku, Skyline Tower",Namba,Fukuoka,〒148-4656,JP,1958/06/07,2023-07-07,2024-12-31,pending,silver, en_GB,N,402.35,1,"requested invoice as ""PDF""  "
CUST000005,Eve Young,eve.young@example.net,08-0466-88937,"4-16-1 Taito, Skyline Tower",Hakata   ,Aichi, 6272980,Japan,1956-10-02,15-05-2021,2024-08-23,active,bronze,JA,1,1231.90,3,moved recently; verify address
CUST000006,Frank Hill,frank.hill6659@example.net,837-770-1436,"5026 2nd Rd, Unit 71",Chicago,ga, 56855,  us ,2001-05-07,2023-03-27,,pending,bronze,en_GB,1   ,709.36,1, asked about refund policy
CUST000007,Grace Williams,grace.williams@demo.local,(877) 190-6594,1506 Cedar St,Toronto,Unknown,90278,gb,1982-04-13,2018-05-25,2021-01-08,pending,bronze,en-US,1,156.51,1,do not call before 14:00
CUST000008,Heidi Wilson,heidi.wilson8230@demo.local, 070-7187-0262,3-11-20 Meguro,Hakata,Hyogo,na,Japan,24-08-1968,2021-05-01,2025-01-19,active,bronze,      JA,0,699.53,9,"coupon code used: MQIGCT, urgent"
CUST000009,Ivan Martin   ,ivan.martin @ example.net,+1 851 604 8175 ,9587 Lake Rd,Denver,NY,70985,United States,29-03-1975,11/05/2017,2018-08-20,inactive,SILVER,ja,0,0.00,7," VIP, handle with care, ok"
CUST000010,Judy Clark,judy.clark@example.com, +81-69-2124-9985 ,4-17-20 Taito   ,Hakata,hyogo,1836736,  Japan,1964-09-07,2021-10-13,2025-08-18,banned   , silv,   ,0,551.62,9,asked about refund policy   
CUST000011,Mallory King,mallory-king@demo.local,+81 90 5160 6071,5-13-14 Setagaya,Shibuya,Osaka,605-2975,Japan,1970-10-06,2022-07-31,2024-12-28,banned,gold  ,ja,1,0.00,2,"VIP, handle with care"
